code_postal,code_insee,nom_commune
01400,01001,L'Abergement-Clémenciat
01640,01002,L'Abergement-de-Varey
01330,01005,Ambérieux-en-Dombes
01500,01004,Ambérieu-en-Bugey
01350,01456,Vongnes
01540,01457,Vonnas
01300,01454,Virignin
01260,01453,Arvière-en-Valromey
01510,01452,Virieu-le-Grand
01200,01448,Villes
01320,01449,Villette-sur-Ain
01800,01450,Villieu-Loyes-Mollon
01440,01451,Viriat
01250,01447,Villereversure
01480,01446,Villeneuve
01150,01444,Villebois
01270,01445,Villemotier
01330,01443,Villars-les-Dombes
01570,01439,Vésines
01430,01441,Vieu-d'Izenave
01560,01437,Vescours
01170,01436,Vesancy
01210,01435,Versonnex
01330,01434,Versailleux
01560,01433,Vernoux
01270,01432,Verjon
01150,01431,Vaux-en-Bugey
01160,01430,Varambon
01660,01429,Vandeins
01140,01428,Valeins
01160,01425,La Tranclière
01370,01426,Val-Revermont
01600,01427,Trévoux
01390,01424,Tramoyes
01600,01423,Toussieux
01250,01422,Tossiat
01230,01421,Torcieu
01140,01420,Thoissey
01710,01419,Thoiry
01230,01416,Tenay
01120,01418,Thil
01400,01412,Sulignat
01510,01415,Talissieu
01150,01411,Souclin
01250,01408,Simandre-sur-Suran
01580,01410,Sonthonnax-la-Montagne
01420,01407,Seyssel
01560,01406,Servignat
01960,01405,Servas
01450,01404,Serrières-sur-Ain
01470,01403,Serrières-de-Briord
01190,01402,Sermoyer
01630,01401,Sergy
01470,01400,Seillonnaz
01170,01399,Ségny
01480,01398,Savigneux
01220,01397,Sauverny
01150,01396,Sault-Brénaz
01580,01392,Samognat
01270,01391,Salavre
01400,01393,Sandrans
01150,01390,Saint-Vulbas
01990,01389,Saint-Trivier-sur-Moignans
01560,01388,Saint-Trivier-de-Courtes
01340,01387,Saint-Sulpice
01150,01386,Saint-Sorlin-en-Bugey
01310,01385,Saint-Rémy
01240,01383,Saint-Paul-de-Varax
01320,01381,Saint-Nizier-le-Désert
01330,01382,Sainte-Olive
01230,01384,Saint-Rambert-en-Bugey
01560,01380,Saint-Nizier-le-Bouchoux
01500,01379,Saint-Maurice-de-Rémens
01700,01376,Saint-Maurice-de-Beynost
01800,01378,Saint-Maurice-de-Gourdans
01310,01375,Saint-Martin-le-Châtel
01160,01374,Saint-Martin-du-Mont
01510,01372,Saint-Martin-de-Bavel
